launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
416.517221, 627733.364148, 5106952.193146, 417.256812, 627534.039982, 5106934.754541, 0.739591, 200.085552
416.517221, 627544.354229, 5106889.840102, 416.698497, 627491.780094, 5106884.314337, 0.181276, 52.863729
394.240587, 627928.661290, 5107492.259560, 394.766207, 627762.544767, 5107475.089357, 0.525621, 167.001542
375.437384, 627674.548759, 5107026.872128, 376.255646, 627495.732007, 5107011.227689, 0.818262, 179.499802
375.437384, 627718.808730, 5107020.564470, 375.986545, 627598.953579, 5107010.078503, 0.549162, 120.312977
401.130842, 627660.208595, 5107020.000842, 401.458234, 627602.320163, 5107014.936261, 0.327392, 58.109557
376.758952, 627831.645401, 5107325.809294, 376.957959, 627769.783585, 5107319.307355, 0.199007, 62.202569
402.609540, 627843.751144, 5107315.143472, 403.247589, 627660.041893, 5107295.834851, 0.638049, 184.721172
363.304533, 627544.298117, 5106805.899061, 363.589010, 627485.614238, 5106799.731137, 0.284477, 59.007125
414.057598, 627842.394273, 5107351.147978, 414.283889, 627781.042469, 5107343.942858, 0.226290, 61.773437
418.653706, 627782.399439, 5107366.144033, 418.879997, 627719.332302, 5107358.400362, 0.226290, 63.540760
362.434119, 627878.991037, 5107477.195498, 362.789326, 627769.042102, 5107464.687147, 0.355207, 110.658155
365.338015, 627879.698004, 5107477.606942, 365.598910, 627819.394992, 5107472.096584, 0.260894, 60.554251
365.338015, 627872.885991, 5107480.303828, 365.598910, 627807.404126, 5107473.778199, 0.260894, 65.806219
370.773584, 627465.817000, 5106773.191167, 371.337986, 627314.813262, 5106757.320035, 0.564402, 151.835509
362.951226, 627563.552426, 5106825.536225, 363.444166, 627414.045371, 5106809.822400, 0.492940, 150.330581
417.148907, 627528.391659, 5106880.339653, 417.352462, 627467.630408, 5106873.953388, 0.203555, 61.095941
420.000000, 627823.249071, 5106553.429664, 420.863986, 627566.641424, 5106500.433529, 0.863986, 262.023042
420.000000, 627959.542565, 5107666.422386, 420.899068, 627830.032564, 5107624.342035, 0.899068, 136.174874
420.000000, 627649.682795, 5107014.950615, 420.820834, 627523.841446, 5106978.866189, 0.820834, 130.912684
434.019642, 627852.859103, 5106660.406920, 434.430788, 627794.339685, 5106647.816529, 0.411145, 59.858502
434.019642, 628525.827619, 5107341.991267, 434.458886, 628431.785973, 5107312.486672, 0.439243, 98.561414
434.019642, 627417.435514, 5106848.616822, 434.264122, 627369.823028, 5106834.964161, 0.244479, 49.531243
434.019642, 627339.512421, 5106869.058170, 434.659107, 627210.581883, 5106832.087934, 0.639465, 134.126366
439.981315, 628137.211218, 5106760.342178, 440.323447, 628086.412835, 5106745.775975, 0.342132, 52.845530
439.981315, 627834.802748, 5107291.610291, 440.638611, 627686.235947, 5107243.338011, 0.657296, 156.212379
439.981315, 627641.284697, 5107009.981447, 440.665407, 627458.832077, 5106957.664000, 0.684092, 189.805358
439.981315, 627281.222216, 5106864.133724, 440.207605, 627231.053857, 5106849.748178, 0.226290, 52.190115
456.144875, 627989.708282, 5106736.496374, 457.343436, 627812.251794, 5106687.526693, 1.198561, 184.089204
456.144875, 627914.175832, 5107150.508263, 456.783868, 627755.415070, 5107101.496073, 0.638993, 166.154068
456.144875, 627717.627211, 5106971.307311, 456.623292, 627643.833318, 5106950.147253, 0.478416, 76.767745
456.144875, 627266.264332, 5106875.211420, 456.802171, 627108.758218, 5106830.047268, 0.657296, 163.853522
472.259350, 627704.074823, 5107379.410420, 473.113880, 627519.231640, 5107319.461528, 0.854530, 194.321568
420.000000, 627654.925598, 5106929.780394, 420.349199, 627578.891908, 5106907.978084, 0.349199, 79.097805
420.000000, 627733.654370, 5107348.312047, 420.863986, 627562.400499, 5107293.363073, 0.863986, 179.853491
442.914621, 627704.642906, 5107430.285661, 443.245795, 627622.369898, 5107401.956792, 0.331174, 87.013636
454.388534, 627699.797650, 5107322.137246, 455.347257, 627566.272156, 5107279.866534, 0.958723, 140.056669
454.388534, 627552.598188, 5107433.749245, 455.235346, 627303.935785, 5107457.906167, 0.846811, 249.833039
454.388534, 627552.598188, 5107433.749245, 454.927224, 627415.722477, 5107448.135462, 0.538689, 137.629661
457.358579, 627549.187244, 5107436.273612, 457.664248, 627462.764213, 5107445.357039, 0.305669, 86.899073
461.282504, 627619.224811, 5107382.963148, 461.667753, 627512.436975, 5107394.187001, 0.385248, 107.376053
473.143040, 627507.711497, 5107412.404547, 473.535418, 627368.709005, 5107427.014298, 0.392377, 139.768156
479.053118, 627739.132096, 5107443.500792, 479.580197, 627604.433873, 5107397.120475, 0.527079, 142.459626
479.053118, 627739.132096, 5107443.500792, 479.332690, 627671.694112, 5107420.280032, 0.279572, 71.323806
420.000000, 627688.318868, 5107605.456599, 420.526426, 627551.925717, 5107576.475386, 0.526426, 139.438167
467.439827, 627653.986303, 5107582.081266, 468.009591, 627496.642616, 5107563.581528, 0.569764, 158.427510
467.439827, 627732.712750, 5107658.363542, 467.843811, 627656.304431, 5107632.054048, 0.403984, 80.811019
432.370457, 627772.324273, 5107434.240703, 432.695624, 627705.013314, 5107411.063681, 0.325166, 71.189462
432.370457, 627666.063369, 5107530.560347, 432.713648, 627581.836852, 5107501.558831, 0.343191, 89.079706
440.496019, 627757.224372, 5107409.212371, 441.113561, 627624.968014, 5107363.672854, 0.617542, 139.877059
460.740820, 627752.972162, 5107390.651366, 461.330794, 627602.916659, 5107339.700701, 0.589974, 158.469632
460.740820, 627662.351074, 5107565.245668, 461.059978, 627602.533525, 5107553.452352, 0.319158, 60.969021
460.740820, 627616.308665, 5107536.031604, 461.259702, 627436.359723, 5107554.945000, 0.518882, 180.940151
467.082733, 627751.838405, 5107385.462693, 467.449956, 627679.505054, 5107360.556323, 0.367224, 76.501248
472.927337, 627706.179111, 5107377.738303, 473.235655, 627642.762469, 5107355.902202, 0.308318, 67.070752
472.927337, 627601.769041, 5107540.972888, 473.260334, 627499.487241, 5107551.723139, 0.332997, 102.845197
478.292421, 627550.509614, 5107473.105361, 478.634554, 627434.490030, 5107485.299511, 0.342132, 116.658652
478.292421, 627530.928769, 5107454.584645, 478.728319, 627395.832060, 5107468.783881, 0.435898, 135.840859
425.313083, 627614.879943, 5107534.127534, 425.686668, 627505.096550, 5107536.281818, 0.373585, 109.804528
454.469264, 627683.500541, 5107476.468017, 454.989902, 627556.831740, 5107455.291980, 0.520637, 128.426670
454.469264, 627615.735051, 5107575.993748, 454.945832, 627457.487884, 5107564.928028, 0.476567, 158.633590
454.469264, 627583.272786, 5107480.444664, 454.905388, 627446.397500, 5107494.830837, 0.436123, 137.629233
460.841862, 627610.010700, 5107581.845528, 461.199716, 627511.322194, 5107574.944556, 0.357854, 98.929493
470.540694, 627556.752089, 5107493.056701, 470.832057, 627467.864294, 5107502.399185, 0.291364, 89.377414
475.927384, 627560.337103, 5107574.292522, 476.171863, 627492.629452, 5107569.557941, 0.244479, 67.872987
455.074697, 627842.092354, 5107624.326619, 455.387783, 627802.016554, 5107610.830416, 0.313087, 42.287318
420.000000, 627866.983737, 5107143.154611, 421.031492, 627699.035210, 5107092.615920, 1.031492, 175.387762
422.089306, 627640.562443, 5107568.108592, 422.329238, 627594.204825, 5107552.146384, 0.239932, 49.028775
424.579934, 627639.587019, 5107567.051949, 425.166715, 627473.379702, 5107557.784673, 0.586781, 166.465476
424.579934, 627643.100600, 5107568.565595, 425.163548, 627470.862931, 5107567.478550, 0.583614, 172.241099
473.003446, 627616.333931, 5107616.999173, 473.202454, 627564.341192, 5107613.363486, 0.199007, 52.119701
426.051104, 627530.221264, 5106936.569875, 426.604711, 627417.686073, 5106904.300928, 0.553607, 117.070296
467.834635, 627525.908859, 5106955.189319, 468.260752, 627467.985774, 5106938.580141, 0.426117, 60.257353
424.995555, 627492.277710, 5106881.469905, 425.602843, 627354.512487, 5106841.966362, 0.607288, 143.317084
424.995555, 627491.981787, 5106887.359722, 425.542486, 627362.360724, 5106850.191480, 0.546931, 134.844719
432.732965, 627480.435150, 5106891.459196, 433.320837, 627349.960202, 5106854.046106, 0.587873, 135.733015
468.789933, 627441.170225, 5106913.128671, 469.007129, 627395.765858, 5106900.109178, 0.217196, 47.234138
420.000000, 627466.546946, 5107035.630100, 420.779606, 627340.410119, 5107000.175881, 0.779606, 131.024809
420.000000, 627644.887542, 5107296.625701, 420.475122, 627563.051561, 5107271.201133, 0.475122, 85.694436
420.000000, 627662.975634, 5107291.357961, 421.190574, 627417.545720, 5107215.474603, 1.190574, 256.893220
420.000000, 627657.361527, 5107306.857632, 421.175004, 627422.821220, 5107234.021771, 1.175004, 245.589532
428.404422, 627636.001081, 5107297.212126, 428.789671, 627573.591733, 5107277.734394, 0.385248, 65.378198
480.000000, 628026.783576, 5107677.624150, 480.593449, 627938.367067, 5107647.179905, 0.593449, 93.511128
480.000000, 627774.399200, 5107664.714675, 480.702805, 627635.277454, 5107614.078500, 0.702805, 148.050270
480.000000, 627525.843993, 5107290.040979, 480.384561, 627471.624182, 5107271.371601, 0.384561, 57.343993
480.000000, 627412.556424, 5106884.249113, 480.550769, 627283.264337, 5106839.730277, 0.550769, 136.741984
482.983870, 627766.530950, 5107659.224836, 483.258810, 627730.120644, 5107645.972568, 0.274940, 38.747039
482.983870, 627517.443460, 5107319.384203, 483.625696, 627391.197205, 5107275.914131, 0.641827, 133.520650
482.983870, 627518.716175, 5107318.045371, 483.387854, 627445.134345, 5107292.709115, 0.403984, 77.821666
482.983870, 627678.689710, 5107279.246368, 484.092663, 627447.993771, 5107198.709514, 1.108793, 244.349751
482.983870, 627889.126726, 5107160.515907, 483.357102, 627799.578437, 5107126.790948, 0.373232, 95.688395
485.769332, 628127.471241, 5106727.562341, 486.644069, 627996.462620, 5106682.452455, 0.874737, 138.557427
485.769332, 627796.315527, 5107670.172612, 486.163616, 627747.702508, 5107652.478921, 0.394284, 51.732894
485.769332, 627686.530171, 5107679.950819, 486.163616, 627625.874293, 5107657.873885, 0.394284, 64.548637
485.769332, 627234.173606, 5107529.581663, 485.941900, 627175.514757, 5107533.683489, 0.172568, 58.802088
485.769332, 627251.962352, 5107502.468063, 486.227349, 627106.470916, 5107524.599867, 0.458017, 147.165127
485.769332, 627517.459006, 5107321.552019, 486.411158, 627391.212750, 5107278.081947, 0.641827, 133.520650
485.769332, 627833.732178, 5107247.444390, 486.142564, 627761.564133, 5107221.177370, 0.373232, 76.799629
485.769332, 627599.885507, 5107060.018161, 486.241211, 627529.237073, 5107037.063094, 0.471879, 74.284159
485.769332, 627442.398595, 5106971.499838, 486.322939, 627310.448586, 5106930.649291, 0.553607, 138.128824
493.919510, 627469.960053, 5106581.415066, 494.141253, 627425.434538, 5106565.209104, 0.221743, 47.383064
493.919510, 627412.259539, 5107632.550408, 494.391389, 627276.889126, 5107637.277647, 0.471879, 135.452927
493.919510, 627540.378764, 5107371.368021, 494.319144, 627428.787886, 5107383.096695, 0.399634, 112.205551
493.919510, 627595.811882, 5107278.897660, 495.161296, 627365.489168, 5107199.591189, 1.241786, 243.594066
493.919510, 627595.811882, 5107278.897660, 494.602123, 627468.554181, 5107235.079319, 0.682613, 134.590376
493.919510, 627675.589794, 5107263.247887, 494.246901, 627633.337067, 5107247.869152, 0.327392, 44.964413
493.919510, 627832.021422, 5107144.842854, 494.181388, 627781.106837, 5107126.646270, 0.261878, 54.068574
493.919510, 627301.428830, 5106915.117271, 494.634810, 627148.278024, 5106862.383220, 0.715301, 161.975459
493.919510, 627301.428830, 5106915.117271, 494.280725, 627223.659148, 5106888.339022, 0.361216, 82.250824
493.919510, 627234.674239, 5106898.083990, 494.623209, 627080.674501, 5106845.057628, 0.703700, 162.873308
503.665455, 627866.623273, 5106627.681210, 503.926349, 627820.322817, 5106611.738685, 0.260894, 48.968320
503.665455, 628000.585166, 5106720.134265, 504.907241, 627815.122876, 5106658.048491, 1.241786, 195.578384
503.665455, 627982.866104, 5107727.782416, 504.017636, 627942.994855, 5107714.053644, 0.352181, 42.168657
503.665455, 627226.046644, 5107491.615807, 504.153988, 627097.109999, 5107513.345491, 0.488533, 130.754876
503.665455, 627675.679577, 5107260.233223, 504.206272, 627590.674861, 5107229.294037, 0.540817, 90.460129
503.665455, 627744.628697, 5107185.812366, 504.143871, 627673.525086, 5107159.932769, 0.478416, 75.666882
508.927931, 628003.520618, 5106721.812658, 509.447056, 627930.513467, 5106696.674280, 0.519125, 77.213873
508.927931, 628003.520618, 5106721.812658, 509.255322, 627963.077703, 5106707.887046, 0.327392, 42.773263
508.927931, 627218.265007, 5107488.622750, 509.465481, 627054.597547, 5107522.229486, 0.537550, 167.082166
508.927931, 627292.144748, 5107443.809649, 509.109207, 627233.995977, 5107447.875807, 0.181276, 58.290764
508.927931, 627346.804304, 5107464.442570, 509.337610, 627230.313776, 5107472.588381, 0.409679, 116.774986
508.927931, 627674.111241, 5107255.613893, 509.247904, 627640.271123, 5107243.297097, 0.319974, 36.011902
508.927931, 627853.297839, 5107192.960791, 509.724782, 627715.910986, 5107142.419241, 0.796851, 146.388509
508.927931, 627826.041526, 5107146.747033, 509.189809, 627775.260792, 5107128.264357, 0.261878, 54.039728
513.046879, 627642.377083, 5107688.757293, 513.729139, 627460.608124, 5107665.520354, 0.682260, 183.248219
513.046879, 627601.994500, 5107263.118209, 513.660740, 627488.561962, 5107224.060254, 0.613861, 119.968599
513.046879, 627290.761021, 5106928.038373, 513.277717, 627245.390557, 5106914.167230, 0.230838, 47.443520
513.046879, 627220.085736, 5106908.120196, 513.788810, 627094.242227, 5106864.788801, 0.741931, 133.094697
516.963164, 627551.453786, 5106446.847056, 517.881958, 627389.965691, 5106391.242246, 0.918793, 170.793148
516.963164, 627285.335591, 5107436.878221, 517.463544, 627138.011465, 5107454.382076, 0.500380, 148.360314
516.963164, 627334.942528, 5107455.163623, 517.410367, 627201.265880, 5107464.511205, 0.447203, 134.003074
516.963164, 627384.219034, 5106907.069945, 517.574945, 627244.360816, 5106858.912898, 0.611780, 147.916944
516.963164, 627329.324021, 5106931.852881, 517.207643, 627282.709579, 5106917.601415, 0.244479, 48.744338
516.963164, 627180.532799, 5106888.876777, 517.224059, 627131.197104, 5106871.889135, 0.260894, 52.178452
521.200523, 627954.770236, 5107727.414811, 521.547680, 627903.588700, 5107709.791595, 0.347157, 54.130650
521.200523, 627519.161788, 5107360.259298, 521.828318, 627322.396998, 5107377.864731, 0.627795, 197.550838
521.200523, 627602.733828, 5107259.856278, 521.595132, 627521.250800, 5107231.799421, 0.394610, 86.178136
521.200523, 627814.545537, 5107225.970061, 522.994157, 627341.956490, 5107067.907006, 1.793634, 498.321519
521.200523, 627675.075211, 5107193.623378, 521.530696, 627620.461160, 5107173.745489, 0.330173, 58.119059
528.494418, 627483.439175, 5107630.733307, 528.734350, 627449.442859, 5107627.759015, 0.239932, 34.126177
528.494418, 627355.288211, 5107672.015946, 528.831601, 627258.633501, 5107675.391203, 0.337183, 96.713626
528.494418, 627151.716383, 5107664.057519, 529.011365, 627012.080826, 5107621.366645, 0.516946, 146.015751
528.494418, 627151.874615, 5107557.827828, 528.738898, 627093.362784, 5107551.963989, 0.244479, 58.804922
528.494418, 627181.055209, 5107521.017317, 528.697973, 627124.498642, 5107535.118453, 0.203555, 58.287970
528.494418, 627216.729723, 5107460.036552, 529.143662, 627034.636850, 5107498.204902, 0.649244, 186.050094
528.494418, 627508.984570, 5107356.590500, 528.819160, 627418.111088, 5107366.141688, 0.324742, 91.374038
528.494418, 627637.431089, 5107197.224892, 529.140205, 627488.801729, 5107145.647327, 0.645787, 157.324289
528.494418, 627168.737508, 5106893.978708, 528.849626, 627089.731542, 5106866.774773, 0.355207, 83.558343
535.452137, 627538.702851, 5106443.278769, 536.364673, 627392.713942, 5106393.010757, 0.912536, 154.400890
535.452137, 628137.571229, 5106710.213294, 536.375383, 628001.911733, 5106663.501983, 0.923245, 143.476289
535.452137, 627662.246637, 5107717.543584, 535.731846, 627630.315439, 5107705.921578, 0.279709, 33.980471
535.452137, 627209.152054, 5107456.390823, 535.789320, 627114.104596, 5107474.932468, 0.337183, 96.839103
535.452137, 627296.445669, 5107433.360042, 535.764533, 627214.291176, 5107439.104844, 0.312396, 82.355106
535.452137, 627485.451394, 5107392.098181, 535.729196, 627399.024536, 5107401.182010, 0.277059, 86.902921
535.452137, 627509.115247, 5107329.565282, 535.856121, 627453.917966, 5107310.559334, 0.403984, 58.377786
535.452137, 627374.539723, 5106924.092499, 535.789320, 627297.872324, 5106898.493146, 0.337183, 80.828318
485.769332, 627997.009416, 5106737.600484, 486.195449, 627946.303228, 5106720.140944, 0.426117, 53.627913
480.000000, 627106.482189, 5106819.515564, 480.511895, 627004.406292, 5106784.368014, 0.511895, 107.957579
535.989423, 627133.347846, 5106815.992805, 536.331556, 627069.999569, 5106794.180244, 0.342132, 66.998448
523.010867, 627210.847126, 5107453.046550, 523.250799, 627157.090772, 5107460.225251, 0.239932, 54.233563
523.010867, 627227.873277, 5107426.095935, 523.218969, 627159.027519, 5107430.910099, 0.208102, 69.013871
535.468827, 627528.336308, 5107365.976146, 535.838314, 627433.597686, 5107375.933577, 0.369487, 95.260469
490.975829, 627384.547774, 5106892.966060, 491.540232, 627253.695022, 5106847.909844, 0.564402, 138.392577
480.000000, 627282.164294, 5107000.616233, 480.432654, 627185.038043, 5106970.921758, 0.432654, 101.564120
505.218312, 627319.463453, 5107040.096902, 505.690191, 627245.930094, 5107017.615499, 0.471879, 76.893227
480.000000, 627443.655229, 5107240.995506, 480.585611, 627303.796717, 5107195.032347, 0.585611, 147.217578
